participant_id,participant_id_dataset,semester_id,date,year,academic_year,semester,days_since_semester_start,first_day_of_the_semester,dataset_of_origin,torr_set1_score,torr_set2_score,atmi_score,wj_score,torr_s1_q1_resp,torr_s1_q2_resp,torr_s1_q3_resp,torr_s1_q4_resp,torr_s1_q5_resp,torr_s1_q6_resp,torr_s1_q7_resp,torr_s1_q8_resp,torr_s2_q1_resp,torr_s2_q2_resp,torr_s2_q3_resp,torr_s2_q4_resp,torr_s2_q5_resp,torr_s2_q6_resp,torr_s2_q7_resp,torr_s2_q8_resp,q1_r_sc,q2_r_sc,q3_r_sc,q4_r_sc,q5_r_sc,q6_sc,q7_sc,q8_sc,q9_sc,q10_r_sc,q11_sc,q12_sc,q13_val,q14_val,q15_val,q16_val,q17_val,q18_val,q19_val,q20_enj,q21_r_enj,q22_enj,q23_enj,q24_enj,q25_enj,q26_enj,q27_enj,q28_enj,q29_mot,q30_r_mot,q31_mot,q32_mot,x63,x64
SEP_7_0018,13839,spring-2020,2020-03-18,2020,2019-2020,spring,57,2020-01-21,7,3,2,96,76,D,C,B,C,A,B,A,C,C,A,B,D,B,B,A,C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA
SEP_7_0019,15738,spring-2020,2020-03-17,2020,2019-2020,spring,56,2020-01-21,7,4,3,94,81,A,C,B,C,D,C,A,D,B,A,A,B,A,A,C,D,3,2,3,3,2,3,3,3,3,2,3,3,4,4,3,2,2,4,3,3,3,3,2,3,3,4,3,3,3,3,3,3,NA,NA
SEP_7_0020,15947,spring-2020,2020-04-17,2020,2019-2020,spring,87,2020-01-21,7,4,5,107,83,A,B,B,A,A,C,A,D,B,C,D,C,A,D,A,C,4,2,5,4,4,2,3,4,3,2,2,4,4,5,5,4,4,4,4,3,4,5,3,2,1,3,2,2,4,4,3,2,NA,NA
SEP_7_0021,16969,spring-2020,2020-04-04,2020,2019-2020,spring,74,2020-01-21,7,0,3,98,105,C,A,A,A,A,A,D,B,B,B,A,D,A,C,C,B,5,4,4,4,4,2,4,2,2,4,2,2,5,4,4,4,4,4,4,2,2,3,4,2,2,3,2,2,2,3,1,2,NA,NA
SEP_7_0022,17460,spring-2020,2020-03-19,2020,2019-2020,spring,58,2020-01-21,7,6,3,94,66,A,D,B,C,D,B,A,A,D,C,A,D,D,B,A,B,2,2,2,3,2,3,2,3,2,3,3,3,5,4,4,4,3,5,5,3,3,4,2,2,1,4,3,3,3,2,3,1,NA,NA
SEP_7_0023,21111,spring-2020,2020-04-03,2020,2019-2020,spring,73,2020-01-21,7,8,7,112,98,A,B,B,B,D,B,A,A,B,A,C,D,A,D,A,D,2,1,1,1,2,5,5,5,5,2,4,4,5,4,4,4,4,4,4,5,3,4,2,4,2,4,4,4,5,2,4,3,NA,NA
SEP_7_0024,21607,spring-2020,2020-04-16,2020,2019-2020,spring,86,2020-01-21,7,6,3,104,86,A,B,B,A,D,B,A,D,D,C,D,C,A,D,C,B,2,1,2,1,2,2,4,4,4,3,4,4,5,3,5,5,4,3,4,4,2,4,5,4,3,3,3,2,3,3,3,3,NA,NA
SEP_7_0025,22592,spring-2020,2020-03-25,2020,2019-2020,spring,64,2020-01-21,7,4,5,91,109,C,C,B,C,D,C,A,A,B,C,D,D,A,D,C,B,5,4,5,5,5,2,1,2,1,1,1,2,4,5,4,4,4,5,4,1,4,2,1,1,1,4,4,2,1,2,2,2,NA,NA
SEP_7_0026,23292,spring-2020,2020-03-21,2020,2019-2020,spring,60,2020-01-21,7,5,5,117,126,A,B,B,B,A,B,C,B,D,C,D,B,A,D,A,D,1,1,1,1,1,5,5,5,5,1,5,4,5,5,4,4,4,4,4,4,1,4,5,5,5,5,5,5,5,1,5,2,NA,NA
SEP_7_0027,24518,spring-2020,2020-04-03,2020,2019-2020,spring,73,2020-01-21,7,5,2,101,112,D,B,B,C,D,B,A,D,C,D,B,D,C,D,D,C,2,2,3,4,2,4,3,5,2,3,4,4,4,4,5,2,4,5,4,4,2,4,4,3,2,2,1,4,4,2,2,1,NA,NA
SEP_7_0028,25270,spring-2020,2020-04-06,2020,2019-2020,spring,76,2020-01-21,7,2,1,95,96,A,D,A,C,C,B,D,C,B,B,A,C,C,C,B,B,4,3,4,3,4,2,4,3,2,3,4,2,4,3,4,4,4,2,3,2,4,2,2,3,2,2,1,2,4,4,3,2,NA,NA
SEP_7_0029,25972,spring-2020,2020-03-17,2020,2019-2020,spring,56,2020-01-21,7,4,6,102,62,C,B,B,C,D,A,A,D,B,C,D,D,A,D,A,C,2,2,2,2,2,3,2,4,4,2,4,4,5,4,4,4,4,5,4,4,2,4,5,4,2,4,2,2,3,2,3,2,NA,NA
SEP_7_0030,26277,spring-2020,2020-03-23,2020,2019-2020,spring,62,2020-01-21,7,1,3,110,70,C,C,A,B,C,C,C,C,B,A,C,A,C,D,B,A,4,2,2,2,2,3,4,3,4,2,4,4,5,5,5,5,5,5,5,4,2,3,3,3,3,3,3,4,4,2,3,2,NA,NA
SEP_7_0031,26360,spring-2020,2020-03-21,2020,2019-2020,spring,60,2020-01-21,7,1,1,87,88,A,C,C,C,B,D,B,B,B,D,A,B,C,B,B,A,5,4,4,5,5,2,1,3,3,3,3,2,2,3,3,2,2,2,2,1,5,2,3,3,2,2,2,3,2,4,1,1,NA,NA
SEP_7_0032,26451,spring-2020,2020-04-17,2020,2019-2020,spring,87,2020-01-21,7,3,6,119,88,D,C,B,C,D,C,A,D,B,C,C,B,A,B,A,D,1,2,1,1,1,1,5,5,4,2,5,5,5,5,5,5,5,5,5,5,4,5,3,5,3,2,4,5,5,3,5,2,NA,NA
SEP_7_0033,26506,spring-2020,2020-04-07,2020,2019-2020,spring,77,2020-01-21,7,8,7,105,99,A,B,B,B,D,B,A,A,B,C,C,D,A,D,A,B,2,1,1,1,2,4,4,5,4,2,5,5,5,5,5,5,4,5,4,4,3,3,4,3,2,3,3,3,2,3,2,1,NA,NA
SEP_7_0034,26571,spring-2020,2020-03-24,2020,2019-2020,spring,63,2020-01-21,7,5,3,93,103,A,B,A,B,D,C,A,C,B,A,B,D,A,C,B,C,4,2,3,2,3,2,2,3,3,2,2,2,4,4,4,5,5,4,5,2,4,3,1,2,1,2,4,4,2,3,2,2,NA,NA
